Abandono,Gender,Age,High_School_GPA,Language_Level,Toefl
0,1,19,81.57,8,620
0,1,19,78.55,7,563
1,0,19,80.09,4,409
0,0,19,79.26,8,600
0,0,19,88.73,8,603
0,0,19,90,8,613
0,0,19,95.02,7,573
0,1,19,83.43,7,557
0,0,19,88.76,8,608
0,1,19,81.69,8,643
0,1,19,83.45,7,587
0,1,19,76.76,7,550
0,0,19,97.4,8,640
0,1,19,90.88,7,583
0,1,19,93.14,7,563
0,1,19,81.5,7,567
0,1,19,79.67,7,583
0,0,19,91.38,8,617
0,0,19,92.33,8,607
0,0,19,85.76,7,553
0,1,19,85.19,8,623
0,1,19,85.17,8,633
0,1,19,92,8,603
0,1,19,86.57,8,659
0,0,19,84.02,7,567
0,1,19,78.32,7,568
0,1,19,93.83,8,633
0,1,19,88.12,7,588
0,1,19,83.12,7,550
0,0,19,84.02,7,584
0,0,19,96.33,8,637
1,1,19,77,7,550
0,0,19,84.45,8,639
1,1,19,70.16,6,537
0,1,19,88.83,7,573
0,1,19,83.51,8,663
0,0,19,89.71,7,560
0,0,19,98.52,8,657
0,1,19,89.4,8,603
0,1,19,87.1,7,597
0,0,19,89.9,8,613
0,1,19,80.27,7,550
0,0,19,87.71,8,603
0,0,19,87.98,7,577
0,1,19,96.36,8,624
0,0,19,81.48,7,550
0,0,19,80.31,7,557
0,1,19,90.48,8,600
1,0,19,87.8,7,593
0,1,19,93.31,7,583
0,1,19,82.83,7,550
0,0,19,88.98,8,630
0,0,19,89.55,7,569
0,1,19,82.4,7,580
0,0,19,96.05,8,653
0,1,19,93.98,8,670
0,1,19,87.33,7,590
0,1,19,78.68,7,550
0,0,19,79.34,7,550
0,0,19,88.05,7,580
0,1,19,81.9,7,580
0,0,19,94.07,8,621
0,0,19,85.21,8,633
0,0,19,84.17,7,557
0,0,19,80.8,7,570
0,0,19,89.91,7,583
0,0,19,81.93,7,560
0,1,19,93.95,8,627
0,1,19,92.24,8,663
0,1,19,84.69,8,607
0,0,19,87.31,7,577
0,1,19,94.35,8,633
0,1,19,83.36,8,610
1,1,19,80,7,560
0,1,19,79.8,8,617
1,1,19,73.65,7,563
0,1,19,80.05,8,630
0,1,19,89.79,7,593
0,0,19,92.67,8,648
0,0,19,77.34,6,527
1,1,19,80.67,4,467
0,0,19,98.92,8,653
0,0,19,89.1,8,607
0,1,19,87.9,8,640
0,1,19,83.45,8,598
0,1,19,78.24,7,550
0,0,19,91.9,8,630
0,0,19,79.76,8,633
0,0,19,88.14,8,614
0,1,19,86.24,7,580
0,1,19,75.4,8,613
0,1,19,86.79,7,590
0,0,19,96.98,8,650
0,1,19,79.26,7,550
0,1,19,93.52,8,637
0,1,19,84.31,7,587
0,0,19,77.94,8,600
0,0,19,82.07,7,563
0,1,19,80.77,7,583
0,0,19,88.76,7,587
0,1,19,85.64,7,577
0,0,19,92.1,8,600
0,1,19,82.33,8,640
0,0,19,97.69,8,633
0,0,19,81.5,8,613
0,0,19,88.9,7,597
0,0,19,82.26,7,563
0,1,19,87.95,7,567
0,0,19,97.88,8,647
0,1,19,77.16,7,590
0,0,19,94.57,8,600
0,0,19,90.49,8,623
1,1,19,76.93,7,593
0,1,19,75.96,5,517
0,0,19,94.26,7,560
0,1,19,83.74,8,630
0,0,19,88.33,7,577
0,0,19,81.5,7,584
1,1,19,76.07,7,568
0,0,19,83.07,8,603
0,0,19,86.17,7,567
0,0,19,78.5,7,577
0,1,19,93.88,8,630
0,1,19,89.76,8,637
0,0,19,93.13,8,623
0,1,19,91.21,8,623
0,1,19,76.23,7,573
0,1,19,71.74,4,467
0,0,19,77.69,6,540
0,0,19,87.55,8,657
0,1,19,77.86,7,550
0,1,19,87.62,8,600
0,1,19,91.57,8,613
0,1,19,81.48,8,617
0,0,19,86.95,7,570
0,1,19,79.05,7,581
1,0,19,83.44,8,647
0,0,19,76.93,7,550
0,0,19,89.81,7,584
0,0,19,90.55,8,637
0,1,19,79.02,7,563
0,1,19,92.69,8,620
0,0,19,82.05,8,613
0,1,19,93.82,8,660
0,1,19,92.38,8,660
1,1,19,88.39,8,650
0,1,19,79.29,7,550
0,0,19,84.07,7,583
0,1,19,74.29,7,560
0,1,19,88.36,7,563
0,1,19,87.67,8,650
0,1,19,98.47,8,647
0,0,19,90.97,8,627
0,1,19,80.64,7,580
1,1,19,75.89,7,587
0,1,19,93.4,8,627
0,0,19,88.76,8,600
0,1,19,82.93,6,543
0,1,19,91.38,7,590
0,1,19,92.98,8,610
0,1,19,79.23,7,553
0,1,19,86.05,7,570
0,0,19,90.71,8,607
0,0,19,83.9,7,578
0,1,19,78.8,7,573
0,1,19,93.1,8,623
0,1,19,82.9,7,567
0,1,19,82.95,7,593
0,0,19,89.83,7,580
0,1,19,80.28,7,550
0,1,19,77.47,7,597
0,1,19,77.39,7,567
0,0,19,91.45,8,613
0,0,19,95.19,8,617
0,1,19,90.55,7,573
0,0,19,88.36,7,580
0,1,19,85.98,7,580
0,1,19,84.57,7,583
0,0,19,92.14,8,640
1,1,19,75.66,6,520
0,1,19,84.86,7,593
0,1,19,79.4,8,627
0,0,19,78.43,7,550
0,0,19,88.02,8,600
0,0,19,81.79,7,550
0,0,19,92.83,7,550
0,1,19,77.33,7,557
0,0,19,85.74,8,647
0,1,19,85.24,8,631
0,1,19,88.95,7,583
0,1,19,78.56,8,610
0,0,19,87.45,7,583
0,0,19,81.95,7,573
0,0,19,82.26,8,613
0,1,19,81.64,7,570
0,1,19,79.55,7,573
0,1,19,80.98,7,550
0,1,19,87.14,8,604
0,1,19,81.12,7,560
0,1,19,80.64,7,587
0,1,19,88.17,8,621
0,1,19,82.3,7,557
0,0,19,83.43,7,588
0,1,19,81.28,7,590
0,0,19,89.43,8,610
0,0,19,90.45,8,633
0,1,19,90.4,8,603
0,0,19,92.83,7,570
0,0,19,89.38,8,660
0,0,19,86.17,7,577
0,0,19,95.92,8,653
0,0,19,93.24,8,643
0,0,19,91.31,8,599
0,0,19,85.55,7,580
0,1,19,81.76,8,603
0,1,19,86.12,7,550
0,1,19,92.95,8,633
0,0,19,76.6,7,560
0,1,19,90.13,8,647
0,0,19,89.74,8,600
0,0,19,87.83,7,587
0,0,19,82.38,8,633
0,1,19,75.74,6,520
0,0,19,91.61,8,653
0,0,19,81.3,7,583
0,1,19,80.65,7,557
0,1,19,85.9,8,601
0,1,19,80.88,7,567
0,1,19,81.77,7,567
0,1,19,77.59,7,557
0,1,19,84.44,7,550
0,0,19,86.12,7,597
0,1,19,90.81,8,650
0,1,19,79.88,7,570
0,0,19,76.35,7,557
0,1,19,87.83,8,637
0,1,19,76.31,7,593
0,1,19,82.43,8,637
0,1,19,87.19,8,650
1,0,19,89.57,8,613
0,0,19,89.88,7,589
0,1,19,90.12,8,603
0,1,19,86.64,8,603
0,0,19,85.17,7,563
0,0,19,87.74,7,593
0,0,19,88.29,7,577
0,1,19,85.79,8,620
0,1,19,80.52,7,550
0,1,19,90.6,7,550
0,1,19,75.11,7,550
0,1,19,91.12,7,597
0,1,19,86.26,7,591
0,0,19,94.14,7,587
0,1,19,86.02,8,663
0,0,19,93.82,8,603
0,0,19,83.33,7,570
0,1,19,84.02,8,630
0,0,19,90.31,7,587
0,1,19,89.35,7,550
0,1,19,92.14,8,617
0,0,19,87.81,7,550
0,1,19,95.9,8,670
0,0,19,82.36,7,560
0,0,19,94.86,7,567
0,1,19,93.95,8,650
0,0,18,82.74,6,547
0,1,18,84,8,613
0,1,18,77.53,7,583
0,1,18,90.62,8,660
0,0,18,90.45,8,617
0,1,18,87.9,8,613
1,1,18,74.06,8,617
0,1,18,81.43,8,667
0,0,18,90.98,8,610
0,0,18,85.19,7,573
0,0,18,92.69,8,653
0,0,18,75.09,7,550
0,1,18,83.38,7,583
0,1,18,88.16,8,600
0,1,18,97.29,8,627
0,1,18,90.74,8,610
0,1,18,85.5,8,650
1,1,18,83,7,573
0,1,18,84.74,8,623
0,1,18,86.79,8,600
0,0,18,91.05,7,594
0,0,18,89.24,7,597
0,0,18,82.88,7,579
0,0,18,82.51,7,550
0,0,18,87.14,7,567
0,1,18,76.26,7,550
0,0,18,92.43,7,597
0,0,18,71.11,7,567
0,1,18,78.21,7,567
0,1,18,84.8,8,634
0,1,18,77.49,8,600
0,0,18,82.43,7,583
0,0,18,94.45,8,640
0,1,18,76.68,7,593
0,1,18,78.71,7,563
1,1,18,85.52,8,610
0,1,18,92.81,8,634
0,1,18,79.37,7,566
0,1,18,86.14,8,607
0,1,18,79.51,8,657
0,0,18,94.43,8,653
0,0,18,90.93,8,603
0,1,18,91.29,7,577
0,1,18,87.48,7,563
0,1,18,79.8,7,567
0,0,18,85.69,8,600
0,0,18,89.62,8,613
1,0,18,88.81,7,583
0,0,18,84.69,7,597
0,1,18,90.95,8,627
0,1,18,87.95,7,580
0,1,18,79.79,7,553
0,1,18,89.36,7,590
0,1,18,94.02,8,640
0,0,18,86.76,7,557
0,0,18,87.8,8,637
1,1,18,82.75,7,560
0,0,18,98.5,8,659
0,0,18,96.07,8,643
0,0,18,95.55,8,603
0,1,18,87.64,8,603
0,1,18,89.21,7,573
0,1,18,78.65,7,550
0,0,18,81.67,4,460
0,0,18,81.53,7,563
1,1,18,83.81,7,560
0,1,18,92.71,7,587
0,1,18,90.62,8,600
0,0,18,83.66,7,557
0,1,18,90.67,8,643
0,0,18,87.8,7,563
0,1,18,85.74,8,610
0,1,18,93.35,8,663
0,0,18,79.45,7,574
0,1,18,86.31,7,553
0,1,18,79.95,8,603
0,1,18,74.44,6,520
0,1,18,84.38,8,600
0,1,18,86.02,8,617
1,1,18,81.09,6,533
0,1,18,78.05,7,597
0,1,18,91.17,8,640
0,1,18,79.55,7,563
0,1,18,77.13,4,453
0,1,18,89.93,7,570
0,0,18,89.24,8,623
0,0,18,85.79,7,553
0,1,18,88.21,7,583
0,1,18,96.52,8,607
0,0,18,78.14,7,583
0,0,18,93.19,7,573
0,1,18,84.33,7,580
0,1,18,81.48,8,600
0,1,18,77.09,7,567
0,1,18,79.07,7,550
1,0,18,85.98,7,553
0,0,18,84.05,7,563
0,1,18,76.2,7,590
0,0,18,89.95,8,670
0,0,18,93.39,8,637
0,0,18,85.62,7,553
0,0,18,95.67,8,634
0,1,18,80.51,7,550
0,1,18,85.93,7,583
0,1,18,90.37,8,660
0,1,18,94.4,7,577
0,1,18,89.19,8,633
0,1,18,79.77,7,560
0,0,18,84.24,7,550
0,0,18,82.12,7,550
0,1,18,76.98,7,570
0,1,18,86,7,553
0,0,18,87.43,8,603
0,1,18,85.14,8,640
1,0,18,82.43,7,563
0,1,18,82.5,7,553
0,0,18,84.21,8,600
0,0,18,91.6,8,643
0,0,18,93.33,7,583
0,1,18,95.69,8,617
0,1,18,97.21,8,640
0,1,18,85.81,7,570
0,0,18,79.69,6,520
0,0,18,89.38,7,570
0,1,18,81.38,8,627
0,1,18,93.14,8,610
0,1,18,89.67,7,577
0,0,18,87.08,8,609
0,0,18,78.39,7,553
0,0,18,85.67,7,550
0,1,18,81.96,7,563
0,1,18,78.33,6,520
0,1,18,80.21,6,520
0,1,18,78,7,570
0,1,18,86.26,7,587
0,1,18,88.83,8,633
0,1,18,93,7,550
0,1,18,91.38,8,639
0,1,18,85.88,7,557
0,1,18,80.27,8,667
0,0,18,88.12,7,557
0,0,18,74.67,7,553
0,0,18,91.38,7,587
0,0,18,91.6,7,550
0,1,18,87.79,8,650
0,0,18,90.81,8,637
0,1,18,86.52,8,617
0,1,18,80.19,7,550
0,0,18,83.37,6,537
0,1,18,93.12,7,580
0,1,18,86.31,7,577
0,0,18,96.47,8,620
0,0,18,97.07,7,591
0,0,18,78.77,8,637
0,0,18,92.67,8,623
0,1,18,88.76,8,603
0,1,18,91.48,7,563
0,1,18,91.88,8,627
0,1,18,93.05,8,640
0,0,18,93.11,8,607
0,1,18,98.31,8,663
0,1,18,73.32,4,437
0,0,18,89.98,7,590
0,1,18,87.98,7,587
0,1,18,98.52,7,577
0,0,18,89.18,8,621
0,1,18,84.47,7,583
0,0,18,89.5,7,593
0,1,18,80.33,7,567
0,0,18,88.57,7,587
0,0,18,87.1,7,594
0,1,18,81.6,7,580
0,1,18,83.67,7,593
0,1,18,95,7,563
0,1,18,91.98,8,600
0,0,18,96.27,8,670
0,0,18,83.45,7,593
0,1,18,83.5,7,578
0,1,18,91.24,7,550
0,0,18,80.67,8,640
0,1,18,92.63,7,583
0,0,18,94.43,8,613
0,0,18,96.02,8,637
0,0,18,81.56,7,583
0,1,18,88.8,8,613
0,1,18,96.86,8,613
0,0,18,82.6,7,577
0,0,18,86.98,7,550
0,1,18,93.93,8,653
0,0,18,84.4,7,580
0,0,18,83.5,7,590
0,0,18,92.07,7,550
0,1,18,85.48,7,571
0,0,18,78.4,7,550
0,1,18,85.1,8,600
0,1,18,79.11,8,627
0,1,18,84.02,8,607
0,1,18,77.69,7,594
0,1,18,89.19,8,617
0,1,18,80.82,6,520
0,1,18,92.12,8,670
0,1,18,94.48,8,630
0,1,18,84.9,6,520
0,0,18,80.39,7,550
1,1,18,76.37,7,550
0,1,18,87.21,7,570
0,1,18,93.81,7,550
0,0,18,89.17,8,617
0,1,18,95.02,7,550
0,1,18,82.7,8,634
0,0,18,91.07,8,637
0,1,18,70.72,7,597
0,0,18,89.48,7,587
0,1,18,91.5,8,607
0,1,18,76.8,7,550
0,1,18,85.93,8,623
0,1,18,91.79,7,570
0,0,18,96.31,8,653
0,0,18,83.53,5,497
0,1,18,79.9,7,581
0,1,18,89.95,8,611
0,1,18,89.38,8,610
0,1,18,86.1,8,613
0,0,18,90.6,7,553
0,0,18,79.44,7,550
0,1,18,91.57,7,550
0,1,18,98.07,8,637
0,0,18,82.63,7,587
0,0,18,84.33,7,550
0,1,18,81.62,7,593
0,0,18,87.64,7,553
0,0,18,84.12,8,627
0,1,18,88.19,7,590
0,0,18,88.33,7,577
0,1,18,86.02,8,620
0,1,18,83.92,7,550
0,1,18,93.43,7,560
0,0,18,88.17,8,600
0,0,18,94.36,8,600
0,1,18,82.79,7,550
0,0,18,97.4,8,630
0,1,18,87.79,7,570
0,1,18,86.67,7,550
0,1,18,78.65,7,550
0,0,18,83.1,7,553
0,1,18,92.98,8,600
0,0,18,80,7,573
0,1,18,90.98,7,570
0,0,18,80.55,8,640
0,1,18,86.9,7,583
0,0,18,92.86,8,633
0,0,18,87.29,7,557
0,0,18,87.44,8,600
0,0,18,93.47,7,590
0,1,18,77.28,7,550
0,1,18,76.33,6,520
1,0,18,82,6,523
0,1,18,78.15,7,557
0,1,18,80.72,7,560
1,1,18,77.18,5,517
0,1,18,78.35,7,560
0,1,18,88.86,8,613
0,0,18,96.73,8,660
0,0,18,84.38,7,557
0,0,18,81.74,7,580
0,1,18,85.45,8,637
0,0,18,74.04,7,570
0,0,18,86.14,7,580
0,0,18,85.29,7,597
0,0,18,82.44,6,520
0,0,18,91.6,8,613
0,1,18,78.41,8,613
0,1,18,88,7,587
0,0,18,84.52,7,583
0,0,18,97.12,8,663
1,1,18,76.45,8,623
0,0,18,88.57,8,630
0,1,18,90.14,8,627
0,0,18,88.05,8,630
0,0,18,80.63,7,550
0,0,18,88.69,7,550
0,1,18,79.51,8,617
0,0,18,86.43,7,587
0,1,18,92.4,8,600
0,1,18,80,6,520
0,1,18,86.26,7,553
0,1,18,76.87,7,550
0,0,18,96.78,8,650
0,0,18,90.79,8,620
0,1,18,80.14,7,580
0,1,18,87.05,8,650
0,1,18,83.69,6,520
0,0,18,87.76,7,593
1,1,18,90.36,6,523
0,1,18,91.9,8,613
0,0,18,80.93,7,573
0,1,18,85.57,8,613
0,0,18,88.74,8,617
0,0,18,86.45,8,617
0,0,18,87.21,7,570
0,0,18,90.55,7,550
0,1,18,85.98,8,603
0,1,18,95.48,8,670
0,1,18,95.31,8,603
0,0,18,94.31,7,587
0,0,18,93.24,7,577
0,1,18,97.55,8,627
0,1,18,91.4,7,577
0,1,18,88.29,7,557
0,1,18,83.43,7,550
0,0,18,77.8,4,463
0,1,18,83.86,6,520
0,0,18,88.45,8,640
0,0,18,92.88,7,587
0,1,18,87.34,7,560
0,0,18,93.38,7,550
1,0,18,92,7,587
0,0,18,87.8,6,543
0,0,18,81.18,6,523
0,0,18,90.9,7,550
1,1,18,85.1,6,530
1,0,18,93.21,6,543
0,0,18,76.13,4,443
0,0,18,87.76,7,550
0,1,18,94.67,8,613
0,1,18,86.64,6,520
0,1,18,84.55,8,603
0,0,18,93.19,8,623
0,1,18,84.41,8,600
0,0,18,88.38,8,618
0,0,18,81.79,7,570
0,0,18,92.48,7,550
0,0,18,88.82,8,617
0,0,18,88,7,587
0,1,18,87.23,8,663
1,0,18,98.12,8,633
0,0,18,92.83,7,567
0,0,18,89.1,7,560
0,1,18,84.81,7,557
0,0,18,91.27,7,573
0,1,18,87.86,7,583
0,1,18,87.19,7,563
0,1,18,76.79,7,550
0,1,18,84.93,7,550
0,0,18,91.19,7,588
1,1,18,84.69,7,557
0,1,18,92.79,7,590
0,1,18,80.12,7,580
0,1,18,84.9,7,567
0,0,18,82.33,7,577
0,0,18,94.43,8,637
0,0,18,93.2,8,657
0,1,18,79.53,7,593
0,0,18,96.21,7,550
1,1,18,79.28,7,573
0,1,18,91.31,7,567
0,1,18,90.31,8,600
0,1,18,88.21,8,603
0,0,18,81.56,7,580
0,0,18,84.93,8,604
0,0,18,81.67,6,520
0,1,18,92.43,8,647
0,0,18,92.88,8,607
0,0,18,85.67,7,550
0,1,18,89.29,8,600
0,0,18,88.6,8,653
0,0,18,94.5,7,563
0,1,18,80.47,8,607
0,1,18,89.74,7,580
0,0,18,89.4,7,563
0,1,18,86.02,8,603
0,1,18,83.81,6,523
1,0,18,84.09,7,573
0,0,18,90.62,7,597
0,1,18,88.62,7,550
0,0,18,96.31,8,637
0,0,18,92.74,8,653
1,1,18,77.22,7,550
1,0,18,76.74,5,479
0,1,18,91.17,7,557
0,0,18,82.45,8,634
0,0,18,93.83,8,614
0,1,18,77.79,7,553
0,0,18,90.74,8,647
0,0,18,81.64,7,573
0,1,18,93.55,8,640
0,0,18,80.42,7,557
0,1,18,92.9,8,633
0,0,18,96.07,8,603
0,0,18,86.43,8,607
0,0,18,88.33,8,603
0,0,18,83.79,7,557
0,1,18,83.71,7,560
0,0,18,85.62,8,640
1,0,18,88.21,7,550
0,1,18,75.96,7,573
0,1,18,81.24,8,628
0,1,18,86.36,7,593
0,1,18,90.64,7,580
0,1,18,84.27,7,550
0,0,18,80.98,6,520
0,1,18,78.59,7,550
0,1,18,88.4,7,550
0,0,18,90.67,8,604
0,1,18,92.43,8,640
0,1,18,89.9,7,567
0,0,18,87.67,8,640
0,1,18,88.9,7,593
0,1,18,82.36,7,550
0,1,18,83.64,7,579
0,1,18,80.48,7,577
0,0,18,81.33,7,591
0,0,18,79.09,7,550
0,0,18,89.72,7,550
0,0,18,82.52,7,557
0,1,18,76.83,7,550
0,1,18,88.83,8,630
0,0,18,83.23,8,613
0,1,18,76.73,7,578
0,1,18,76.13,7,567
0,1,18,79.98,6,520
0,0,18,86.9,8,603
0,0,18,97.95,7,573
0,0,18,87.31,8,627
0,0,18,78.24,7,550
0,1,18,81.02,8,607
0,1,18,93.69,8,660
0,1,18,82.41,7,570
0,1,18,90.95,8,627
0,1,18,75.39,7,553
0,1,18,97.49,8,650
0,1,18,84.83,7,597
0,0,18,85.79,7,557
0,1,18,92.52,8,630
0,0,18,87.02,8,620
0,0,18,86.71,7,567
0,1,18,82.93,7,550
0,1,18,87.71,8,646
0,1,18,88.9,7,593
0,1,18,76.31,7,567
0,1,18,87.24,7,567
0,0,18,77.51,7,550
0,0,18,87.93,8,623
0,0,18,87.98,7,553
0,1,18,77.44,7,587
0,1,18,81.43,7,563
0,1,18,83.67,7,580
0,0,18,86.62,8,620
0,0,18,87.43,7,587
0,1,18,93.71,8,607
0,1,18,77.48,8,613
0,1,18,82.38,7,586
1,0,18,75,5,507
0,0,18,93.57,8,607
0,0,18,84.52,7,571
0,1,18,88.95,8,627
0,0,18,86.9,7,577
0,0,18,86.52,7,593
0,0,18,88.02,7,560
0,1,18,85.56,7,569
0,1,18,94.07,8,620
0,1,18,95.74,7,550
0,0,18,90.1,8,603
0,1,18,84.88,8,607
0,0,18,96.35,8,647
0,0,18,90.64,7,573
0,0,18,87.9,7,580
0,0,18,83,5,480
0,1,18,82.26,7,593
0,1,18,81.02,7,563
0,1,18,80.9,8,610
0,1,18,82,8,600
0,0,18,87.33,8,603
0,0,18,81,7,590
0,0,18,93.1,7,560
0,1,18,77.35,7,550
0,0,18,85.33,8,637
0,0,18,89.24,7,563
0,1,18,78.16,6,530
0,1,18,84.62,7,550
0,1,18,92.07,8,604
0,1,18,82.65,8,617
0,1,18,84.69,8,610
0,1,18,83.12,8,613
0,1,18,83.52,8,610
0,0,18,85.83,7,587
0,1,18,96.7,8,633
0,0,18,87.83,7,567
0,1,18,74.7,8,627
0,1,18,92.6,8,657
0,1,18,78.41,7,580
0,1,18,88.02,8,653
0,1,18,74.44,8,639
0,0,18,94.33,7,577
0,0,18,83.95,7,550
0,1,18,95.52,8,640
0,0,18,85.38,7,577
0,0,18,89.24,7,573
0,0,18,93.07,7,550
0,0,18,88.86,7,590
0,1,18,86.29,7,567
0,1,18,77.78,7,550
0,1,18,77.38,7,570
0,1,18,88.29,8,609
0,0,18,89.55,7,553
0,1,18,90.02,8,657
0,0,18,84.62,8,603
1,1,18,87.12,7,590
0,0,18,89.74,7,550
0,0,18,84.81,7,593
0,0,18,95.14,7,574
0,1,18,96.94,8,660
0,0,18,87.8,8,603
0,0,18,87.8,7,550
0,0,18,90.57,7,560
0,0,18,95,8,640
0,1,18,92.33,8,607
0,0,18,87.8,7,550
0,0,18,77.93,7,550
0,1,18,85.21,7,590
0,0,18,86.6,8,650
0,0,18,92.31,7,570
0,0,18,94.14,8,657
0,0,18,78.47,7,560
0,1,18,96.88,8,603
0,0,18,79.14,7,550
0,1,18,81.25,8,621
0,0,18,90.76,7,580
0,1,18,84.86,7,577
0,1,18,90.88,8,613
0,1,18,98.05,7,583
0,0,18,82.84,7,583
0,0,18,85,7,597
0,0,18,82.1,7,567
0,1,18,79.5,7,550
0,1,18,97.69,7,580
0,0,18,86.6,8,651
1,1,18,84.74,8,633
0,0,18,79,7,590
0,0,18,85.67,7,560
0,1,18,78.58,7,550
0,1,18,87.76,6,540
0,1,18,89,7,550
0,1,18,79.67,4,398
0,1,18,91.74,8,617
0,1,18,99.1,8,647
1,0,18,82.64,7,580
0,0,18,81.57,7,550
0,1,18,95,7,570
0,1,18,96.04,8,623
0,0,18,92.93,7,580
0,0,18,81.71,7,553
0,0,18,89.31,7,550
0,1,18,79.64,8,610
0,0,18,84.69,7,587
0,0,18,90.74,7,587
0,1,18,84.6,7,567
0,1,18,83.12,7,550
0,1,18,87.26,8,657
0,1,18,88.36,7,557
0,0,18,83.78,8,623
0,1,18,95.61,8,610
0,1,18,93.48,8,637
0,0,18,87.81,6,520
0,1,18,87.8,8,643
0,1,18,79.64,7,550
0,0,18,88.83,7,550
0,1,18,82.48,7,577
0,1,18,75.57,7,550
0,0,18,88.43,8,630
0,0,18,76.13,7,583
0,0,18,95.88,8,613
0,1,18,77.46,8,630
0,1,18,89.9,8,610
0,1,18,86.71,8,617
0,1,18,77.32,6,520
0,1,18,81.74,7,560
0,0,18,85.38,7,550
0,0,18,89.34,7,550
0,0,18,89.21,8,623
0,0,18,87.45,6,543
1,1,18,74.09,7,550
0,0,18,88.19,6,530
0,1,18,83.21,8,603
0,1,18,82,7,583
0,1,18,78.76,8,630
0,1,18,87.19,7,557
0,1,18,83,7,560
0,0,18,89.83,7,587
0,0,18,88.76,7,553
0,0,18,96.93,8,633
0,1,18,87.95,7,557
0,0,18,94.12,8,620
0,0,18,95.33,8,660
0,0,18,90.78,8,600
0,1,18,91.07,8,653
0,0,18,84.29,7,597
0,1,18,80.59,8,620
0,0,18,89.33,7,577
0,0,18,80.29,4,477
0,1,18,79.7,7,553
0,0,18,81.29,7,550
0,0,18,82.56,7,550
0,1,18,94.88,8,600
0,0,18,96.59,8,657
0,0,18,90.1,7,587
0,0,18,82,4,460
0,0,18,92.74,7,583
0,0,18,88.69,7,550
0,0,18,89.43,7,550
0,0,18,94.38,8,600
1,1,18,80.38,6,527
0,1,18,77.44,7,557
0,1,18,79.4,8,600
0,1,18,79.26,6,520
0,1,18,85.69,7,580
0,1,18,95.17,8,610
0,0,18,80.74,7,550
0,0,18,85.45,8,613
0,1,18,85.05,7,570
0,1,18,89.02,7,580
0,0,18,98.26,8,667
0,1,18,92.48,7,580
0,0,18,87.29,8,651
0,0,18,84.95,7,550
0,0,18,83.29,7,590
0,0,18,94.36,7,590
0,1,18,76.38,7,583
